image,text,writer_id,sample_id,source_type
train_00001.png,Tab Pantoprazole 500 mcg HS x 5d,synthetic_renderer_calibri,train_00001,synthetic
train_00002.png,Tablet Paracetamol 650 g AC x 5d,synthetic_renderer_cambria,train_00002,synthetic
train_00003.png,Cap Pantoprazole 250 mg HS x 5d,synthetic_renderer_comic,train_00003,synthetic
train_00004.png,Tab  Pantoprazole  250  ml  AC  x 5d,synthetic_renderer_consola,train_00004,synthetic
train_00008.png,Tablet Paracetamol 625 mcg PC x 3d,synthetic_renderer_calibri,train_00008,synthetic
train_00010.png,Capsule Amoxicillin 20 mcg PRN for 5 days,synthetic_renderer_comic,train_00010,synthetic
train_00011.png,Tab Pantoprazole 500 g HS,synthetic_renderer_consola,train_00011,synthetic
train_00012.png,Paracetamol 40 g HS x 7d,synthetic_renderer_cour,train_00012,synthetic
train_00013.png,Cap  Pantoprazole  10  mg  OD,synthetic_renderer_georgia,train_00013,synthetic
train_00015.png,Tab Paracetamol 625 g BD x 3d with water,synthetic_renderer_calibri,train_00015,synthetic
train_00016.png,Cap Metformin 250 mg OD x 5d,synthetic_renderer_cambria,train_00016,synthetic
train_00017.png,Syp  PCM  10  g  TDS  x 5d,synthetic_renderer_comic,train_00017,synthetic
train_00020.png,Syrup Pantoprazole 5 g OD for 5 days with water,synthetic_renderer_georgia,train_00020,synthetic
train_00021.png,Syp Cetirizine 10 ml PC x 7d before food,synthetic_renderer_arial,train_00021,synthetic
train_00022.png,Tab Pantoprazole 625 ml OD,synthetic_renderer_calibri,train_00022,synthetic
train_00023.png,Capsule Paracetamol 10 mcg AC x 3d,synthetic_renderer_cambria,train_00023,synthetic
train_00024.png,Cap Metformin 40 ml PRN,synthetic_renderer_comic,train_00024,synthetic
train_00025.png,Metformin  40  ml  SOS  x 5d,synthetic_renderer_consola,train_00025,synthetic
train_00026.png,Paracetamol 20 g BD,synthetic_renderer_cour,train_00026,synthetic
train_00027.png,Tablet PCM 40 mg OD,synthetic_renderer_georgia,train_00027,synthetic
train_00028.png,Inj  Metformin  40  mg  BD  for 5 days,synthetic_renderer_arial,train_00028,synthetic
train_00029.png,Capsule Paracetamol 500 g HS,synthetic_renderer_calibri,train_00029,synthetic
train_00030.png,Cap PCM 250 mg TDS for 5 days before food,synthetic_renderer_cambria,train_00030,synthetic
train_00031.png,Cap PCM 20 ml PC x 7d,synthetic_renderer_comic,train_00031,synthetic
train_00032.png,Syrup  Paracetamol  40  g  TDS  x 3d  with water,synthetic_renderer_consola,train_00032,synthetic
train_00033.png,Tablet Pantoprazole 650 ml OD x 5d,synthetic_renderer_cour,train_00033,synthetic
train_00034.png,Amoxicillin  500  g  SOS,synthetic_renderer_georgia,train_00034,synthetic
train_00035.png,Cetirizine 40 g QID,synthetic_renderer_arial,train_00035,synthetic
train_00037.png,Tab  Metformin  250  g  PC  x 5d,synthetic_renderer_cambria,train_00037,synthetic
train_00039.png,Inj Cetirizine 625 mcg AC for 5 days,synthetic_renderer_consola,train_00039,synthetic
train_00040.png,Inj Metformin 10 ml PC x 3d before food,synthetic_renderer_cour,train_00040,synthetic
train_00041.png,Capsule  Pantoprazole  250  ml  SOS,synthetic_renderer_georgia,train_00041,synthetic
train_00042.png,Syp Pantoprazole 40 mg AC for 7 days,synthetic_renderer_arial,train_00042,synthetic
train_00043.png,Syrup Amoxicillin 5 ml OD for 7 days before food,synthetic_renderer_calibri,train_00043,synthetic
train_00044.png,PCM 10 ml QID for 5 days,synthetic_renderer_cambria,train_00044,synthetic
train_00048.png,Tablet PCM 625 mg QID x 5d at bedtime,synthetic_renderer_georgia,train_00048,synthetic
train_00049.png,Tab  Amoxicillin  5  ml  QID  x 3d,synthetic_renderer_arial,train_00049,synthetic
train_00050.png,Amoxicillin 40 mcg SOS for 7 days,synthetic_renderer_calibri,train_00050,synthetic
train_00051.png,Amoxicillin 10 mcg AC for 7 days,synthetic_renderer_cambria,train_00051,synthetic
train_00052.png,Cap Paracetamol 10 g QID,synthetic_renderer_comic,train_00052,synthetic
train_00053.png,Syp Amoxicillin 10 g TDS before food,synthetic_renderer_consola,train_00053,synthetic
train_00056.png,Tablet Cetirizine 40 ml HS before food,synthetic_renderer_arial,train_00056,synthetic
train_00057.png,Tablet  Metformin  10  mg  PC  x 7d  at bedtime,synthetic_renderer_calibri,train_00057,synthetic
train_00058.png,Inj Cetirizine 10 ml SOS,synthetic_renderer_cambria,train_00058,synthetic
train_00059.png,Tab Amoxicillin 625 ml AC,synthetic_renderer_comic,train_00059,synthetic
train_00060.png,Syrup  Paracetamol  10  mg  PC  x 3d  as needed,synthetic_renderer_consola,train_00060,synthetic
train_00062.png,Metformin 20 g TDS with water,synthetic_renderer_georgia,train_00062,synthetic
train_00063.png,Pantoprazole 650 g OD x 5d,synthetic_renderer_arial,train_00063,synthetic
train_00065.png,Pantoprazole 40 g PC for 7 days,synthetic_renderer_cambria,train_00065,synthetic
train_00067.png,Inj Metformin 250 ml PC x 3d,synthetic_renderer_consola,train_00067,synthetic
train_00069.png,Syrup Paracetamol 650 mcg TDS for 7 days,synthetic_renderer_georgia,train_00069,synthetic
train_00071.png,Paracetamol 625 ml QID x 7d,synthetic_renderer_calibri,train_00071,synthetic
train_00072.png,Syp PCM 500 ml OD for 5 days,synthetic_renderer_cambria,train_00072,synthetic
train_00073.png,Syp PCM 10 mg OD x 3d,synthetic_renderer_comic,train_00073,synthetic
train_00074.png,Capsule  Pantoprazole  40  g  OD  x 7d,synthetic_renderer_consola,train_00074,synthetic
train_00075.png,Syrup  Amoxicillin  20  mcg  PC  at bedtime,synthetic_renderer_cour,train_00075,synthetic
train_00077.png,Inj  Paracetamol  20  mg  PC  for 5 days  as needed,synthetic_renderer_arial,train_00077,synthetic
train_00078.png,Capsule  Metformin  5  mg  BD,synthetic_renderer_calibri,train_00078,synthetic
train_00079.png,Amoxicillin 20 ml QID x 7d,synthetic_renderer_cambria,train_00079,synthetic
train_00080.png,Capsule Cetirizine 10 g BD for 7 days with water,synthetic_renderer_comic,train_00080,synthetic
train_00086.png,PCM  5  mcg  AC,synthetic_renderer_cambria,train_00086,synthetic
train_00087.png,Paracetamol 650 g TDS with water,synthetic_renderer_comic,train_00087,synthetic
train_00088.png,Syrup PCM 650 mg PC,synthetic_renderer_consola,train_00088,synthetic
train_00089.png,PCM 20 mcg QID for 7 days at bedtime,synthetic_renderer_cour,train_00089,synthetic
train_00090.png,Tablet Paracetamol 5 ml BD x 5d,synthetic_renderer_georgia,train_00090,synthetic
train_00091.png,Paracetamol 10 g QID,synthetic_renderer_arial,train_00091,synthetic
train_00092.png,Cap Paracetamol 40 mcg PC x 5d,synthetic_renderer_calibri,train_00092,synthetic
train_00093.png,Syrup Pantoprazole 20 mg OD before food,synthetic_renderer_cambria,train_00093,synthetic
train_00094.png,Inj Paracetamol 5 ml AC for 7 days with water,synthetic_renderer_comic,train_00094,synthetic
train_00097.png,Capsule  Cetirizine  625  ml  PRN  for 7 days,synthetic_renderer_georgia,train_00097,synthetic
train_00099.png,Tab Pantoprazole 40 g QID x 7d,synthetic_renderer_calibri,train_00099,synthetic
train_00101.png,Pantoprazole 250 mcg HS,synthetic_renderer_comic,train_00101,synthetic
train_00102.png,Inj Cetirizine 5 mg OD x 7d,synthetic_renderer_consola,train_00102,synthetic
train_00103.png,Tab Pantoprazole 625 mg PC,synthetic_renderer_cour,train_00103,synthetic
train_00105.png,Metformin 10 mg HS for 7 days before food,synthetic_renderer_arial,train_00105,synthetic
train_00107.png,Inj Paracetamol 10 g QID for 7 days,synthetic_renderer_cambria,train_00107,synthetic
train_00108.png,Cetirizine 250 mcg HS at bedtime,synthetic_renderer_comic,train_00108,synthetic
train_00109.png,Tablet Pantoprazole 40 mg PC for 7 days,synthetic_renderer_consola,train_00109,synthetic
train_00112.png,Syp PCM 40 mcg AC x 7d,synthetic_renderer_arial,train_00112,synthetic
train_00113.png,Pantoprazole  650  mcg  TDS  for 7 days  before food,synthetic_renderer_calibri,train_00113,synthetic
train_00114.png,Syrup  Cetirizine  500  g  HS  for 5 days,synthetic_renderer_cambria,train_00114,synthetic
